,Date,Country,Cum # of Cases,Cum # of Deaths,Cum # Recovered,# of Cases,# of Deaths,# Recovered,Day,Day of Month,Month,Month Name
156,2003-04-11,Hong Kong,1059.0,32.0,169.0,61.0,2.0,15.0,26,11,4,April
157,2003-04-11,Singapore,133.0,9.0,77.0,7.0,0.0,2.0,26,11,4,April
158,2003-04-11,Taiwan,23.0,0.0,6.0,2.0,0.0,1.0,26,11,4,April
159,2003-04-11,United States,166.0,0.0,0.0,12.0,0.0,0.0,26,11,4,April
160,2003-04-11,Viet Nam,68.0,4.0,43.0,0.0,0.0,0.0,26,11,4,April
161,2003-04-12,Canada,101.0,10.0,26.0,3.0,0.0,1.0,27,12,4,April
162,2003-04-12,China,1309.0,58.0,1037.0,0.0,0.0,0.0,27,12,4,April
163,2003-04-12,Hong Kong,1108.0,35.0,215.0,49.0,3.0,46.0,27,12,4,April
164,2003-04-12,Singapore,147.0,9.0,77.0,14.0,0.0,0.0,27,12,4,April
165,2003-04-12,Taiwan,25.0,0.0,7.0,2.0,0.0,1.0,27,12,4,April
166,2003-04-12,United States,166.0,0.0,0.0,0.0,0.0,0.0,27,12,4,April
167,2003-04-12,Viet Nam,68.0,4.0,46.0,0.0,0.0,3.0,27,12,4,April
168,2003-04-14,Canada,101.0,13.0,27.0,0.0,3.0,1.0,29,14,4,April
169,2003-04-14,China,1418.0,64.0,1088.0,109.0,6.0,51.0,29,14,4,April
170,2003-04-14,Hong Kong,1190.0,47.0,229.0,82.0,12.0,14.0,29,14,4,April
171,2003-04-14,Singapore,158.0,12.0,84.0,11.0,3.0,7.0,29,14,4,April
172,2003-04-14,Taiwan,25.0,0.0,7.0,0.0,0.0,0.0,29,14,4,April
173,2003-04-14,United States,174.0,0.0,0.0,8.0,0.0,0.0,29,14,4,April
174,2003-04-14,Viet Nam,69.0,5.0,46.0,1.0,1.0,0.0,29,14,4,April
175,2003-04-15,Canada,101.0,13.0,27.0,0.0,0.0,0.0,30,15,4,April
176,2003-04-15,China,1418.0,64.0,1088.0,0.0,0.0,0.0,30,15,4,April
177,2003-04-15,Hong Kong,1232.0,56.0,243.0,42.0,9.0,14.0,30,15,4,April
178,2003-04-15,Singapore,162.0,13.0,85.0,4.0,1.0,1.0,30,15,4,April
179,2003-04-15,Taiwan,25.0,0.0,7.0,0.0,0.0,0.0,30,15,4,April
180,2003-04-15,United States,193.0,0.0,0.0,19.0,0.0,0.0,30,15,4,April
181,2003-04-15,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,30,15,4,April
182,2003-04-16,Canada,104.0,13.0,37.0,3.0,0.0,10.0,31,16,4,April
183,2003-04-16,China,1432.0,64.0,1094.0,14.0,0.0,6.0,31,16,4,April
184,2003-04-16,Hong Kong,1268.0,61.0,257.0,36.0,5.0,14.0,31,16,4,April
185,2003-04-16,Singapore,162.0,13.0,85.0,0.0,0.0,0.0,31,16,4,April
186,2003-04-16,Taiwan,29.0,0.0,10.0,4.0,0.0,3.0,31,16,4,April
187,2003-04-16,United States,193.0,0.0,0.0,0.0,0.0,0.0,31,16,4,April
188,2003-04-16,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,31,16,4,April
189,2003-04-17,Canada,127.0,13.0,46.0,23.0,0.0,9.0,32,17,4,April
190,2003-04-17,China,1457.0,65.0,1107.0,25.0,1.0,13.0,32,17,4,April
191,2003-04-17,Hong Kong,1297.0,65.0,272.0,29.0,4.0,15.0,32,17,4,April
192,2003-04-17,Singapore,167.0,15.0,91.0,5.0,2.0,6.0,32,17,4,April
193,2003-04-17,Taiwan,29.0,0.0,10.0,0.0,0.0,0.0,32,17,4,April
194,2003-04-17,United States,199.0,0.0,0.0,6.0,0.0,0.0,32,17,4,April
195,2003-04-17,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,32,17,4,April
196,2003-04-18,Canada,133.0,13.0,54.0,6.0,0.0,8.0,33,18,4,April
197,2003-04-18,China,1512.0,65.0,1140.0,55.0,0.0,33.0,33,18,4,April
198,2003-04-18,Hong Kong,1358.0,81.0,363.0,61.0,16.0,91.0,33,18,4,April
199,2003-04-18,Singapore,177.0,16.0,100.0,10.0,1.0,9.0,33,18,4,April
200,2003-04-18,Taiwan,31.0,0.0,17.0,2.0,0.0,7.0,33,18,4,April
201,2003-04-18,United States,220.0,0.0,0.0,21.0,0.0,0.0,33,18,4,April
202,2003-04-18,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,33,18,4,April
203,2003-04-19,Canada,133.0,13.0,54.0,0.0,0.0,0.0,34,19,4,April
204,2003-04-19,China,1512.0,65.0,1140.0,0.0,0.0,0.0,34,19,4,April
205,2003-04-19,Hong Kong,1358.0,81.0,363.0,0.0,0.0,0.0,34,19,4,April
206,2003-04-19,Singapore,177.0,16.0,100.0,0.0,0.0,0.0,34,19,4,April
207,2003-04-19,Taiwan,31.0,0.0,17.0,0.0,0.0,0.0,34,19,4,April
208,2003-04-19,United States,220.0,0.0,0.0,0.0,0.0,0.0,34,19,4,April
209,2003-04-19,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,34,19,4,April
210,2003-04-21,Canada,133.0,13.0,54.0,0.0,0.0,0.0,36,21,4,April
211,2003-04-21,China,1959.0,86.0,1187.0,447.0,21.0,47.0,36,21,4,April
212,2003-04-21,Hong Kong,1402.0,94.0,436.0,44.0,13.0,73.0,36,21,4,April
213,2003-04-21,Singapore,178.0,16.0,104.0,1.0,0.0,4.0,36,21,4,April
214,2003-04-21,Taiwan,31.0,0.0,17.0,0.0,0.0,0.0,36,21,4,April
215,2003-04-21,United States,220.0,0.0,0.0,0.0,0.0,0.0,36,21,4,April
216,2003-04-21,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,36,21,4,April
217,2003-04-22,Canada,140.0,14.0,65.0,7.0,1.0,11.0,37,22,4,April
218,2003-04-22,China,2001.0,92.0,1201.0,42.0,6.0,14.0,37,22,4,April
219,2003-04-22,Hong Kong,1434.0,99.0,461.0,32.0,5.0,25.0,37,22,4,April
220,2003-04-22,Singapore,186.0,16.0,110.0,8.0,0.0,6.0,37,22,4,April
221,2003-04-22,Taiwan,31.0,0.0,21.0,0.0,0.0,4.0,37,22,4,April
222,2003-04-22,United States,220.0,0.0,0.0,0.0,0.0,0.0,37,22,4,April
223,2003-04-22,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,37,22,4,April
224,2003-04-23,Canada,141.0,14.0,65.0,1.0,0.0,0.0,38,23,4,April
225,2003-04-23,China,2305.0,106.0,1231.0,304.0,14.0,30.0,38,23,4,April
226,2003-04-23,Hong Kong,1458.0,105.0,522.0,24.0,6.0,61.0,38,23,4,April
227,2003-04-23,Singapore,189.0,17.0,114.0,3.0,1.0,4.0,38,23,4,April
228,2003-04-23,Taiwan,39.0,0.0,21.0,8.0,0.0,0.0,38,23,4,April
229,2003-04-23,United States,221.0,0.0,0.0,1.0,0.0,0.0,38,23,4,April
230,2003-04-23,Viet Nam,69.0,5.0,46.0,0.0,0.0,0.0,38,23,4,April
231,2003-04-24,Canada,141.0,16.0,67.0,0.0,2.0,2.0,39,24,4,April
232,2003-04-24,China,2422.0,110.0,1254.0,117.0,4.0,23.0,39,24,4,April
233,2003-04-24,Hong Kong,1488.0,109.0,567.0,30.0,4.0,45.0,39,24,4,April
234,2003-04-24,Singapore,192.0,19.0,118.0,3.0,2.0,4.0,39,24,4,April
235,2003-04-24,Taiwan,39.0,0.0,21.0,0.0,0.0,0.0,39,24,4,April
236,2003-04-24,United States,221.0,0.0,0.0,0.0,0.0,0.0,39,24,4,April
237,2003-04-24,Viet Nam,69.0,5.0,49.0,0.0,0.0,3.0,39,24,4,April
238,2003-04-25,Canada,141.0,16.0,74.0,0.0,0.0,7.0,40,25,4,April
